# Cinquegrana, Heger & Karakas 2025
M      11.0   11.3   11.5   11.8   12.0   12.3   12.5   12.8   13.0   13.3   13.5   13.8   14.0   14.3   14.5   14.8   15.0   15.3   15.5   15.8   16.0   16.3   16.5   16.8   17.0   17.3   17.5   17.8   18.0   18.3
E      1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0
Mrem   1.289   1.535   1.322   1.509   1.409   1.411   1.554   10.741   1.529   1.601   9.263   1.428   1.443   1.466   1.482   1.502   1.518   1.555   1.579   1.604   1.596   9.463   9.525   1.814   9.423   1.868   8.874   8.586   8.766   1.638
O17   3.430900e-04   3.385051e-04   3.495670e-04   3.412812e-04   3.409086e-04   3.320461e-04   3.215415e-04   5.120044e-05   2.979532e-04   2.859721e-04   9.263998e-05   2.687258e-04   2.705216e-04   2.672084e-04   2.718638e-04   2.767903e-04   2.722119e-04   2.687080e-04   2.682458e-04   2.752576e-04   2.766377e-04   1.275891e-04   1.311360e-04   2.864573e-04   1.392178e-04   2.819343e-04   1.559583e-04   1.646707e-04   1.678524e-04   3.096085e-04
O18   9.499825e-04   1.004570e-03   1.886726e-03   1.598181e-03   2.024316e-03   2.414000e-03   2.010507e-03   9.444520e-05   7.978781e-04   7.584057e-04   2.078782e-04   4.709474e-03   4.407095e-03   6.157445e-03   6.510143e-03   7.692872e-03   8.296886e-03   8.209156e-03   8.814244e-03   9.710434e-03   1.071966e-02   3.124699e-04   3.205204e-04   8.464084e-03   3.418331e-04   1.010509e-02   3.822844e-04   4.035178e-04   4.059632e-04   1.683190e-02
F19   2.171772e-05   2.336450e-05   2.692344e-05   2.742668e-05   2.915126e-05   3.527948e-05   3.838705e-05   4.668780e-06   2.556864e-05   2.648726e-05   1.009737e-05   2.850396e-05   2.884679e-05   2.805616e-05   3.038769e-05   3.126054e-05   3.185801e-05   3.028929e-05   3.089528e-05   3.317060e-05   3.432746e-05   1.512664e-05   1.548425e-05   3.528304e-05   1.661105e-05   3.746793e-05   1.865105e-05   1.971408e-05   1.982687e-05   4.405972e-05
Ne20  8.755344e-02   8.777533e-02   9.224186e-02   9.352671e-02   9.683032e-02   9.948217e-02   1.005306e-01   1.813758e-02   1.055725e-01   1.069769e-01   3.824581e-02   1.250614e-01   1.291208e-01   1.168342e-01   1.353220e-01   1.377000e-01   1.421807e-01   1.285537e-01   1.315462e-01   1.435578e-01   1.585979e-01   6.125487e-02   6.294671e-02   1.594301e-01   6.838088e-02   1.703486e-01   7.783873e-02   8.269504e-02   8.332476e-02   1.997187e-01
Ne21  2.696631e-04   2.719061e-04   2.982502e-04   3.023390e-04   3.257199e-04   3.475935e-04   3.510261e-04   5.238794e-05   3.541216e-04   3.831413e-04   1.083094e-04   5.157203e-04   5.234636e-04   4.149156e-04   5.846938e-04   5.984772e-04   6.359045e-04   5.024737e-04   4.925315e-04   7.859391e-04   8.241850e-04   1.904154e-04   1.964888e-04   6.292566e-04   2.170101e-04   6.937788e-04   2.520561e-04   2.704690e-04   2.727479e-04   1.398856e-03
Ne22  7.071835e-03   6.960541e-03   8.576734e-03   8.114171e-03   8.872293e-03   9.405668e-03   9.041360e-03   1.225464e-03   8.192797e-03   8.808399e-03   2.657315e-03   2.010405e-02   2.043537e-02   2.060058e-02   2.343687e-02   2.410419e-02   2.507427e-02   2.414106e-02   2.353390e-02   2.683185e-02   2.851447e-02   4.022264e-03   4.113391e-03   2.656108e-02   4.426919e-03   2.999134e-02   4.988543e-03   5.273970e-03   5.291646e-03   5.296008e-02
Na23  2.729905e-03   2.647293e-03   2.884864e-03   2.931025e-03   3.100699e-03   3.212345e-03   3.213919e-03   5.052789e-04   3.294458e-03   3.322434e-03   9.888488e-04   4.678529e-03   4.936489e-03   4.060626e-03   5.254382e-03   5.375428e-03   5.663539e-03   4.777007e-03   4.750318e-03   5.806033e-03   7.055560e-03   1.828944e-03   1.900383e-03   7.032708e-03   2.108245e-03   7.873661e-03   2.453359e-03   2.633755e-03   2.677268e-03   8.442008e-03
Mg24  2.097440e-02   2.098219e-02   2.201084e-02   2.235401e-02   2.316878e-02   2.378403e-02   2.397120e-02   4.336821e-03   2.549637e-02   2.560290e-02   9.144377e-03   2.883868e-02   2.964709e-02   2.879372e-02   3.101483e-02   3.168782e-02   3.254327e-02   3.051938e-02   3.338619e-02   3.242573e-02   3.487413e-02   1.464946e-02   1.505426e-02   3.635838e-02   1.635470e-02   3.785998e-02   1.861791e-02   1.978011e-02   1.993077e-02   4.685712e-02
Mg25  2.667499e-03   2.781182e-03   3.136551e-03   3.218600e-03   3.407055e-03   3.621356e-03   3.618528e-03   5.493571e-04   3.795422e-03   3.875403e-03   1.165689e-03   7.146263e-03   7.698479e-03   4.794024e-03   8.356815e-03   8.430997e-03   9.077434e-03   6.216240e-03   6.429356e-03   9.207642e-03   1.172839e-02   1.814571e-03   1.861767e-03   9.459022e-03   2.011607e-03   1.107904e-02   2.275690e-03   2.410040e-03   2.426434e-03   2.006304e-02
Mg26  3.376923e-03   3.460142e-03   3.886272e-03   3.943612e-03   4.207542e-03   4.478032e-03   4.453769e-03   6.780331e-04   4.738500e-03   4.811327e-03   1.422034e-03   7.843937e-03   8.492040e-03   6.262504e-03   9.106930e-03   9.210942e-03   9.888671e-03   7.893145e-03   8.341814e-03   1.077743e-02   1.282169e-02   2.332266e-03   2.399713e-03   1.040608e-02   2.618188e-03   1.196286e-02   2.994995e-03   3.189749e-03   3.216054e-03   2.128463e-02
